City,State,Country,full_location,lat,lon
Mountain View,CA,United States,"Mountain View, CA, United States",37.3900264,-122.0812304
Santa Clara,CA,United States,"Santa Clara, CA, United States",37.3541079,-121.9552356
Cupertino,CA,United States,"Cupertino, CA, United States",37.3229978,-122.0321823
New York,NY,United States,"New York, NY, United States",40.7127753,-74.0059728
Redmond,WA,United States,"Redmond, WA, United States",47.6739881,-122.121512
Seattle,WA,United States,"Seattle, WA, United States",47.6061389,-122.3328481
Austin,TX,United States,"Austin, TX, United States",30.267153,-97.7430608
San Francisco,CA,United States,"San Francisco, CA, United States",37.7749295,-122.4194155
Menlo Park,CA,United States,"Menlo Park, CA, United States",37.4529598,-122.1817252
Atlanta,GA,United States,"Atlanta, GA, United States",33.7501275,-84.3885209
Omaha,NE,United States,"Omaha, NE, United States",41.2565369,-95.9345034
Palo Alto,CA,United States,"Palo Alto, CA, United States",37.4418834,-122.1430195
Indianapolis,IN,United States,"Indianapolis, IN, United States",39.76909,-86.158018
Houston,TX,United States,"Houston, TX, United States",29.7600771,-95.37011079999999
Bentonville,AR,United States,"Bentonville, AR, United States",36.3723561,-94.21021410000002
Chicago,IL,United States,"Chicago, IL, United States",41.88325,-87.6323879
San Jose,CA,United States,"San Jose, CA, United States",37.33874,-121.8852525
Purchase,NY,United States,"Purchase, NY, United States",41.0400135,-73.7144477
Charlotte,NC,United States,"Charlotte, NC, United States",35.2270768,-80.84089329999999
Dallas,TX,United States,"Dallas, TX, United States",32.7766642,-96.79698789999999
